beefy	He was a big, beefy man with hardly any neck, although he did have a very large mustache.	"{'a. (牛)多肉的, 象牛肉的, 粗壮的, 结实的', ""'bi:fi"", 'beefy', 's. muscular and heavily built'}"
revolting	Next morning, however, he had gotten up to find his hair exactly as it had been before Aunt Petunia had sheared it off He had been given a week in his cupboard for this, even though he had tried to explain that he couldn’t explain how it had grown back so quickly.Another time, Aunt Petunia had been trying to force him into a revolting old sweater of Dudley’s (brown with orange puff balls).	"{'v make revolution\nv fill with distaste\nv cause aversion in; offend the moral sense of\ns highly offensive; arousing aversion or disgust', 'a. 背叛的, 叛乱的, 厌恶的', 'revolting', ""ri'vәultiŋ""}"
sweater	Next morning, however, he had gotten up to find his hair exactly as it had been before Aunt Petunia had sheared it off He had been given a week in his cupboard for this, even though he had tried to explain that he couldn’t explain how it had grown back so quickly.Another time, Aunt Petunia had been trying to force him into a revolting old sweater of Dudley’s (brown with orange puff balls).	"{""'swetә"", 'n. a crocheted or knitted garment covering the upper part of the body', 'sweater', 'n. 毛衣, 毛线衫, 运动衫, 出汗者\n[化] 发汗器'}"
puff	Next morning, however, he had gotten up to find his hair exactly as it had been before Aunt Petunia had sheared it off He had been given a week in his cupboard for this, even though he had tried to explain that he couldn’t explain how it had grown back so quickly.Another time, Aunt Petunia had been trying to force him into a revolting old sweater of Dudley’s (brown with orange puff balls).	{'n. a short light gust of air\nn. a light inflated pastry or puff shell\nn. exaggerated praise (as for promotional purposes)\nn. a slow inhalation (as of tobacco smoke)', 'n. 一阵喷烟, 肿块, 喘息\nv. 喷出, 张开, 吹捧, (使)充气, 喘气, (使)骄傲, (使)膨胀', 'pʌf', 'puff'}
puppet	The harder she tried to pull it over his head, the smaller it seemed to become, until finally it might have fitted a hand puppet, but certainly wouldn’t fit Harry.	"{'n. a small figure of a person operated from above with strings by a puppeteer\nn. a doll with a hollow head of a person or animal and a cloth body; intended to fit over the hand and be manipulated with the fingers', 'puppet', 'n. 傀儡, 木偶\n[法] 木偶, 傀儡, 受他人操纵的人', ""'pʌpit""}"
shrunk	Aunt Petunia had decided it must have shrunk in the wash and, to his great relief, Harry wasn’t punished.On the other hand, he’d gotten into terrible trouble for being found on the roof of the school kitchens.	"{'v wither, as with a loss of moisture\nv draw back, as with fear or pain\nv reduce in size; reduce physically\nv become smaller or draw together\nv decrease in size, range, or extent', 'shrink的过去式和过去分词', ""'ʃrʌnk"", 'shrunk'}"
chasing	Dudley’s gang had been chasing him as usual when, as much to Harry’s surprise as anyone else’s, there he was sitting on the chimney.	"{'[建] 周镂', 'chasing', 'v go after with the intent to catch\nv pursue someone sexually or romantically\nv cut a groove into\nv cut a furrow into a columns', ""'tʃeisiŋ""}"
chimney	Dudley’s gang had been chasing him as usual when, as much to Harry’s surprise as anyone else’s, there he was sitting on the chimney.	"{'n. 烟囱, 灯罩\n[电] 烟囱', 'chimney', 'n. a vertical flue that provides a path through which smoke from a fire is carried away through the wall or roof of a building', ""'tʃimni""}"
headmistress	The Dursleys had received a very angry letter from Harry’s headmistress telling them Harry had been climbing school buildings.	"{'n. (中小学)女校长', 'headmistress', ""'hed'mistris"", 'n. a woman headmaster'}"
complain	It was even worth being with Dudley and Piers to be spending the day somewhere that wasn’t school, his cupboard, or Mrs. Figg’s cabbagesmelling living room.While he drove, Uncle Vernon complained to Aunt Petunia.	"{'v. express complaints, discontent, displeasure, or unhappiness\nv. make a formal accusation; bring a formal charge', 'complain', ""kәm'plein"", 'v. 抱怨, 抗议, 控诉'}"
roaring	This morning, it was motorcycles.“…roaring along like maniacs, the young hoodlums,” he said, as a motorcycle overtook them.“I had a dream about a motorcycle,” said Harry, remembering suddenly.	"{'n. 吼声, 咆哮, 怒吼\na. 风哮雨嚎的, 咆哮的, 轰鸣的, 喧哗的, 狂暴的', ""'rɒ:riŋ"", 'r. extremely', 'roaring'}"
gigantic	He turned right around in his seat and yelled at Harry, his face like a gigantic beet with a mustache: “MOTORCYCLES DON’T FLY!”Dudley and Piers sniggered.“I know they don’t,” said Harry.	"{""dʒai'gæntik"", 's. so exceedingly large or extensive as to suggest a giant or mammoth', 'gigantic', 'a. 巨人般的, 巨大的'}"
beet	He turned right around in his seat and yelled at Harry, his face like a gigantic beet with a mustache: “MOTORCYCLES DON’T FLY!”Dudley and Piers sniggered.“I know they don’t,” said Harry.	{'n. biennial Eurasian plant usually having a swollen edible root; widely cultivated as a food crop\nn. round red root vegetable', 'beet', 'bi:t', 'n. 甜菜(根)\n[化] 甜菜'}
wished	“It was only a dream.”But he wished he hadn’t said anything.	{'wished', 'imp. & p. p. of Wish', 'v. <正>希望, 想要, 但愿( wish的过去式和过去分词 ); 祝愿; 盼望, 企求, 想要', 'wiʃt'}
Saturday	If there was one thing the Dursleys hated even more than his asking questions, it was his talking about anything acting in a way it shouldn’t, no matter if it was in a dream or even a cartoon — they seemed to think he might get dangerous ideas.It was a very sunny Saturday and the zoo was crowded with families.	"{'n. the seventh and last day of the week; observed as the Sabbath by Jews and some Christians', 'Saturday', 'n. 星期六', ""'sætәdi""}"
crowded	If there was one thing the Dursleys hated even more than his asking questions, it was his talking about anything acting in a way it shouldn’t, no matter if it was in a dream or even a cartoon — they seemed to think he might get dangerous ideas.It was a very sunny Saturday and the zoo was crowded with families.	"{""'kraudid"", 'crowded', 'a. overfilled or compacted or concentrated', 'a. 拥挤的, 塞满的'}"
hurry	The Dursleys bought Dudley and Piers large chocolate ice creams at the entrance and then, because the smiling lady in the van had asked Harry what he wanted before they could hurry him away, they bought him a cheap lemon ice pop.	"{'n. 匆忙, 急忙, 急促\nvt. 急派, 催促\nvi. 匆忙, 赶快', 'hurry', ""'hʌri"", 'n. a condition of urgency making it necessary to hurry'}"
gorilla	It wasn’t bad, either, Harry thought, licking it as they watched a gorilla scratching its head who looked remarkably like Dudley, except that it wasn’t blond.Harry had the best morning he’d had in a long time.	"{'gorilla', 'n. largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa', ""gә'rilә"", 'n. 大猩猩, 残暴的男人, 歹徒'}"
scratching	It wasn’t bad, either, Harry thought, licking it as they watched a gorilla scratching its head who looked remarkably like Dudley, except that it wasn’t blond.Harry had the best morning he’d had in a long time.	{'', 'v. 擦伤；划伤；刮痕（scratch的ing形式）', 'scratching', 'n a harsh noise made by scraping\nv cause friction\nv cut the surface of; wear away the surface of\nv scrape or rub as if to relieve itching\nv postpone indefinitely or annul something that was scheduled\nv remove by erasing or crossing out or as if by drawing a line\nv gather (money or other resources) together over time\nv carve, cut, or etch into a material or surface'}
remarkably	It wasn’t bad, either, Harry thought, licking it as they watched a gorilla scratching its head who looked remarkably like Dudley, except that it wasn’t blond.Harry had the best morning he’d had in a long time.	"{'r to a remarkable degree or extent\nr in a signal manner', 'remarkably', 'adv. 显著地, 引人注目地, 非常地', ""ri'mɑ:kәbli""}"
afterward	They ate in the zoo restaurant, and when Dudley had a tantrum because his knickerbocker glory didn’t have enough ice cream on top, Uncle Vernon bought him another one and Harry was allowed to finish the first.Harry felt, afterward, that he should have known it was all too good to last.After lunch they went to the reptile house.	"{""'ɑ:ftәwәd"", 'afterward', 'r happening at a time subsequent to a reference time', 'adv. 然后, 后来'}"
reptile	They ate in the zoo restaurant, and when Dudley had a tantrum because his knickerbocker glory didn’t have enough ice cream on top, Uncle Vernon bought him another one and Harry was allowed to finish the first.Harry felt, afterward, that he should have known it was all too good to last.After lunch they went to the reptile house.	"{'reptile', 'n. 爬行动物, 爬虫, 卑鄙的人\na. 爬行的, 爬虫类的, 卑鄙的', ""'reptail"", 'n. any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms'}"
crawling	Behind the glass, all sorts of lizards and snakes were crawling and slithering over bits of wood and stone.	"{'n a slow mode of locomotion on hands and knees or dragging the body\nv move slowly; in the case of people or animals with the body near the ground\nv feel as if crawling with insects\nv be full of\nv show submission or fear\nv swim by doing the crawl; they often don\'t know how to crawl""', 'crawling', ""'krɔ:liŋ"", '[化] 收缩龟裂; 漆膜收缩龟裂; 表面涂布不匀'}"
slithering	Behind the glass, all sorts of lizards and snakes were crawling and slithering over bits of wood and stone.	{'v to pass or move unobtrusively or smoothly\ns moving as on a slippery surface', 'v. （因地面陡峭或湿滑等）跌跌撞撞地溜行( slither的现在分词 ); 滑行; 蛇行; 爬行', 'slithering', 'ˈslɪðərɪŋ'}
poisonous	Dudley and Piers wanted to see huge, poisonous cobras and thick, mancrushing pythons.	"{'poisonous', 's. having the qualities or effects of a poison\ns. not safe to eat\ns. marked by deep ill will; deliberately harmful', ""'pɒizәnәs"", 'a. 有毒的, 恶毒的, 讨厌的\n[医] 有毒的'}"
crushed	It could have wrapped its body twice around Uncle Vernon’s car and crushed it into a trash can — but at the moment it didn’t look in the mood.	{'crushed', '', 'a. 压碎的, 倒碎的', 's. treated so as to have a permanently wrinkled appearance'}
glistening	In fact, it was fast asleep.Dudley stood with his nose pressed against the glass, staring at the glistening brown coils.“Make it move,” he whined at his father.	"{'s. reflecting light', 'a. 白花花的；闪亮的；闪耀的', ""'^li:sniŋ"", 'glistening'}"
smartly	Uncle Vernon rapped the glass smartly with his knuckles, but the snake just snoozed on.“This is boring,” Dudley moaned.	"{'adv. 潇洒地, 火辣辣地, 刺痛地', 'smartly', ""'smɑ:ti"", 'r. in a stylish manner'}"
intently	He shuffled away.Harry moved in front of the tank and looked intently at the snake.	"{""in'tentli"", 'intently', 'adv. 一心一意地, 心无旁物地, 专心地', 'r. with strained or eager attention'}"
boredom	He wouldn’t have been surprised if it had died of boredom itself — no company except stupid people drumming their fingers on the glass trying to disturb it all day long.	"{'n. the feeling of being bored by something tedious', 'n. 厌烦, 厌倦, 令人厌烦的事物', 'boredom', ""'bɒ:dәm""}"
drumming	He wouldn’t have been surprised if it had died of boredom itself — no company except stupid people drumming their fingers on the glass trying to disturb it all day long.	"{'drumming', '[机] 转鼓加工', ""'drʌmiŋ"", 'n. the act of playing drums'}"
